osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
16776663,True,,,trunk_link,,172.73200000000003,"LINESTRING (-4789242.770389714 -2614211.6014769403, -4789372.657971571 -2614299.992268975, -4789396.847696921 -2614318.644151942)",Marginal Rodovia RJ-104,,,,,,,187.6561523583704,0.1876561523583704
16775996,True,,,trunk_link,,59.601,"LINESTRING (-4789286.819512221 -2614268.0400964096, -4789286.886303916 -2614274.3097238555, -4789287.042151202 -2614281.70281363, -4789286.58574129 -2614286.4744991567, -4789285.171983757 -2614292.0797213945, -4789282.4891840285 -2614296.549404292, -4789278.080932193 -2614300.2097130846, -4789272.704200788 -2614301.780142849, -4789266.358989813 -2614301.707661472, -4789259.490577231 -2614300.2097130846, -4789249.494086958 -2614296.7064472265)",,,,,,,,64.75119314191764,0.06475119314191764
1132258766,True,2,RJ-104,trunk,60,111.76,"LINESTRING (-4789286.819512221 -2614268.0400964096, -4789296.593363513 -2614282.826273642, -4789311.74394621 -2614309.5477322787, -4789344.7390432805 -2614374.636168797)",,,,,,,,121.416065081055,0.121416065081055
1132258766,True,2,RJ-104,trunk,60,178.799,"LINESTRING (-4789344.7390432805 -2614374.636168797, -4789380.873349993 -2614430.31428813, -4789396.391287009 -2614451.5152705894, -4789461.936203187 -2614529.1437168797)",,,,,,,,194.24786791042695,0.19424786791042695
29255573,True,2,RJ-106,trunk_link,60,150.29,"LINESTRING (-4789518.887254678 -2614470.1794060073, -4789524.7092640465 -2614490.933466287, -4789526.72414683 -2614512.134527008, -4789528.961668595 -2614560.1299638823, -4789533.069357804 -2614581.923055275, -4789541.730014188 -2614603.945704174, -4789553.2961092815 -2614627.8287747893)",Marginal Rodovia RJ-104,,,,,,,163.2769033768458,0.1632769033768458
178660559,False,,,trunk_link,,73.069,"LINESTRING (-4789396.847696921 -2614318.644151942, -4789452.974984179 -2614374.7811321956)",Marginal Rodovia RJ-104,,,,,,,79.38282513865823,0.07938282513865823
178660557,True,,,trunk_link,,89.46700000000001,"LINESTRING (-4789396.847696921 -2614318.644151942, -4789386.539512074 -2614317.230763695, -4789377.133015102 -2614316.9287576755, -4789366.312760597 -2614318.5716704903, -4789357.874743194 -2614322.376947127, -4789351.306893238 -2614327.462730928, -4789345.406960226 -2614338.4316001646, -4789343.7705637105 -2614347.3830726696, -4789343.325285748 -2614357.168088681, -4789344.7390432805 -2614374.636168797)",Marginal Rodovia RJ-104,,,,,,,97.19843082333718,0.09719843082333718
31055509,True,3,,primary,,109.916,"LINESTRING (-4786937.243547844 -2609873.136703662, -4786932.902087702 -2609946.2025635447, -4786928.148745446 -2609992.1436439655)",Rua Jovelino Oliveira Viana,,,,,,,119.38105823962474,0.11938105823962473
855386133,False,,,residential,,21.641,"LINESTRING (-4786937.243547844 -2609873.136703662, -4786944.134224324 -2609869.030532739, -4786948.89869853 -2609865.540288261, -4786956.000882043 -2609859.115341885)",,,,,,,,23.504556038299405,0.023504556038299405
259543122,True,2,,primary,,13.377,"LINESTRING (-4786825.3229318 -2610829.1898953114, -4786825.245008157 -2610843.719347096)",Rua Jovelino Oliveira Viana,,,,,,,14.52966074130701,0.01452966074130701
